"offer_id","shop_id","model_id"
"477521",632,13934959
"481718",632,13898925
"457132",632,12675734
"436342",632,10495456
"457430",632,12840987
"461907",632,12513459
"468891",632,12260484
"451666",632,12568545
"453366",632,12260784
"447540",632,12340881
"463477",632,13485515
"473869",632,13573972
"472485",632,13869901
"481190",632,14045888
"463479",632,13485515
"472481",632,12799655
"460135",632,13188751
"472499",632,13521946
"481015",632,12693726
"460137",632,13188751
"480529",632,12847131
"473475",632,13988672
"478769",632,13475011
"480315",632,13486420
"460133",632,13188751
"469887",632,13747871
"475507",632,10500342
"452011",632,12917144
"460153",632,13188751
"460143",632,13188752
"472497",632,13521946
"468979",632,13584123
"463473",632,13485518
"456984",632,12858630
"481822",632,13894479
"480765",632,13898917
"472501",632,13521946
"460155",632,13188749
"468027",632,13778007
"436341",632,10495456
"475511",632,10994730
"455132",632,12587263
"478709",632,13769852
"478793",632,1710417822
"469883",632,13325392
"468029",632,13778007
"478225",632,12839750
"479715",632,14209841
"457454",632,12260525
"463475",632,13485515
"449700",632,12260484
"471073",632,13747917
"480769",632,13898917
"443397",632,10500342
"458237",632,12790257
"482308",632,14145474
"481824",632,13894479
"469889",632,13747871
"482516",632,14145474
"482006",632,13188749
"469885",632,13325392
"455128",632,12260525
"482518",632,14145474
"470489",632,13747914
"451909",632,11168663
"481710",632,14112311
"451670",632,12568545
"482572",632,14193971
"459317",632,12873414
"468539",632,12757186
"481716",632,14112311
"482570",632,14193971
"454267",632,12568545
"469065",632,13573964
"481180",632,14045888
"481714",632,14112311
"463471",632,13485518
"475517",632,12839750
"3986429",18063,13521315
"1027023",18063,10994771
"3844584",18063,13574598
"3587776",18063,11743391
"3545626",18063,12366534
"3939793",18063,14161499
"3995246",18063,13098321
"3858733",18063,13854097
"3628137",18063,11154270
"4061758",18063,12366529
"3583173",18063,12294834
"3939756",18063,13848320
"920871",18063,10962186
"3995249",18063,13091504
"3886989",18063,13811712
"3958550",18063,13859240
"3628151",18063,12799011
"3947289",18063,13848325
"3763246",18063,11154270
"3628147",18063,12799011
"3628141",18063,12883821
"3547408",18063,11883339
"3756162",18063,13020949
"3459028",18063,11145538
"1015957",18063,11551057
"3428741",18063,11619536
"3502560",18063,11169293
"3436979",18063,11160267
"3459016",18063,11145538
"3986434",18063,13521315
"3629543",18063,12693726
"3851422",18063,13083990
"3646435",18063,13083992
"3459013",18063,12294833
"3886993",18063,13811712
"3857360",18063,13854097
"3995244",18063,13098321
"3556419",18063,12678791
"4061782",18063,12473802
"3502419",18063,11883339
"3995229",18063,13569183
"4023225",18063,13780471
"4024000",18063,14158836
"854163",18063,10962186
"4057638",18063,8217247
"3981141",18063,11147095
"4024002",18063,14158836
"4018916",18063,12883821
"3860231",18063,13887284
"3540945",18063,12625613
"3849460",18063,13139032
"3586809",18063,10707532
"3502413",18063,11883339
"4061769",18063,12473802
"3568639",18063,12693726
"3646442",18063,13083992
"3587769",18063,11743391
"4012262",18063,11147095
"3851419",18063,13083990
"3587818",18063,11055921
"3625738",18063,12896741
"3628152",18063,12799011
"4023217",18063,13780469
"3767964",18063,11055921
"3587803",18063,11055921
"3583171",18063,12294834
"3763253",18063,11154270
"3958552",18063,13859240
"3628140",18063,12883821
"3458989",18063,11145542
"3625754",18063,12896741
"3591782",18063,11619537
"3587780",18063,12792577
"3851410",18063,13083990
"681526",18063,9324932
"595848",18063,10564401
"941946",18063,11034820
"3939754",18063,13848320
"1027024",18063,10994771
"4018920",18063,12883821
"3587778",18063,11743391
"3946275",18063,14052432
"3986425",18063,13521315
"3642975",18063,12899756
"3995227",18063,13093472
"3849462",18063,13139032
"4018921",18063,11154270
"3556414",18063,12678791
"1027020",18063,10500341
"3487839",18063,12458230
"3947292",18063,13848325
"3989227",18063,13929382
"3849466",18063,13139032
"3587814",18063,11550734
"3628143",18063,12799008
"3587774",18063,11743391
"3767973",18063,13443695
"3625686",18063,12896741
"3576903",18063,12678790
"3502555",18063,13197254
"3995218",18063,13093472
"3995245",18063,13098321
"4061787",18063,12473802
"3767967",18063,13443695
"3688837",18063,12899756
"1027021",18063,10500341
"3844588",18063,13574598
"3516104",18063,12473112
"4018925",18063,11154270
"3458964",18063,11145542
"3860229",18063,13887284
"3587820",18063,11550734
"3947301",18063,14161499
"11944",158135,13584121
"12564",158135,13529995
"1251",158135,10495456
"15890",158135,14206711
"15019",158135,14206636
"8680",158135,12858630
"15028",158135,14206711
"12566",158135,13340782
"11226",158135,13188751
"13707",158135,13521876
"15040",158135,14206712
"12834",158135,13907205
"8688",158135,12859252
"15027",158135,14206684
"15894",158135,14206712
"13706",158135,13521876
"15885",158135,14206712
"8831",158135,12259334
"15034",158135,14206711
"4331",158135,11145521
"12568",158135,13804120
"12904",158135,13340782
"16211",158135,14209841
"15873",158135,14206684
"15627",158135,14209841
"15875",158135,14206636
"12557",158135,13814762
"12234",158135,13747917
"8689",158135,12859250
"8695",158135,12859250
"12837",158135,13889382
"12253",158135,13769851
"15896",158135,14206711
"8690",158135,12858631
"15013",158135,14206682
"10878",158135,13019194
"15015",158135,14206684
"15416",158135,14209901
"15039",158135,14206637
"14863",158135,14142786
"8687",158135,12859252
"15880",158135,14206636
"14973",158135,14045888
"8686",158135,12859250
"13842",158135,13934959
"15022",158135,14206636
"12367",158135,13517610
"12238",158135,13747914
"13845",158135,13934961
"12709",158135,13521946
"15887",158135,14206711
"13703",158135,13521855
"15017",158135,14206682
"15016",158135,14206636
"11946",158135,13584123
"15869",158135,14206684
"16062",158135,14020941
"15886",158135,14206637
"14592",158135,13934014
"14926",158135,13934959
"15591",158135,13898925
"15038",158135,14206712
"8692",158135,12859250
"8694",158135,12859252
"12708",158135,13521946
"3553",158135,11145521
"12833",158135,13907205
"14121",158135,14020941
"15041",158135,14206711
"8664",158135,12379983
"8681",158135,12859245
"11940",158135,13584123
"15871",158135,14206636
"15033",158135,14206637
"15629",158135,14209841
"15094",158135,13951779
"12554",158135,13814762
"11222",158135,13188749
"15590",158135,13898925
"15018",158135,14206684
"12317",158135,13238495
"12237",158135,13747917
"13705",158135,13486413
"15119",158135,14108836
"15628",158135,14209841
"11945",158135,13584121
"12295",158135,13083992
"15630",158135,14209841
"15023",158135,14206682
"11228",158135,13188752
"15897",158135,14206712
"11785",158135,13485515
"15888",158135,14206712
"14600",158135,12742680
"15942",158135,14193971
"15882",158135,14206684
"12233",158135,13747914
"12553",158135,13778007
"12134",158135,13579073
"15031",158135,14206711
"15030",158135,14206637
"14974",158135,14045888
"10043",158135,12911795
"8693",158135,12859252
"15026",158135,14206682
"12565",158135,13340782
"15868",158135,14209841
"3367",158135,11031621
"14885",158135,14187934
"14620",158135,13953580
"15020",158135,14206682
"11787",158135,13485518
"15551",158135,13951779
"12832",158135,11145521
"12322",158135,12938514
"3368",158135,11031663
"15448",158135,14112311
"11224",158135,13188749
"11939",158135,13584121
"8682",158135,12859246
"15024",158135,14206684
"1287",158135,10501336
"15701",158135,14124403
"11859",158135,13475460
"15037",158135,14206711
"12256",158135,13769851
"12528",158135,13760826
"15550",158135,13951779
"14212",158135,13975864
"11943",158135,13584123
"14211",158135,13975864
"15944",158135,14193971
"15032",158135,14206712
"8697",158135,12858631
"15879",158135,14206636
"15036",158135,14206637
"14975",158135,14045888
"13704",158135,13486413
"2671",158135,11031621
"12836",158135,13889382
"9864",158135,13057137
"12219",158135,13778007
"8683",158135,12858631
"8691",158135,12858631
"12531",158135,13529995
"16061",158135,14020941
"13843",158135,13934961
"15462",158135,14124403
"12230",158135,13747917
"12259",158135,13769852
